"","players","points","played_games"
"1","Smyslov",12,18
"2","Reshevsky",11,18
"3","Bronstein",10.5,18
"4","Najdorf",10,18
"5","Petrosian",9.5,18
"6","Keres",9.5,18
"7","Geller",9,18
"8","Taimanov",9,17
"9","Boleslavsky",9,17
"10","Euwe",8.5,18
"11","Szabo",8,18
"12","Averbaj",8,18
"13","Kotov",8,17
"14","Gligoric",8,17
"15","Stahlberg",5,18
