"","players","points","played_games"
"1","Smyslov",17,26
"2","Bronstein",15.5,27
"3","Keres",15,26
"4","Reshevsky",14.5,25
"5","Petrosian",14,26
"6","Geller",13.5,26
"7","Najdorf",13.5,26
"8","Kotov",13.5,26
"9","Taimanov",13,26
"10","Averbaj",12.5,26
"11","Boleslavsky",12.5,26
"12","Gligoric",12,26
"13","Szabo",11,26
"14","Euwe",11,26
"15","Stahlberg",7.5,27
