"","players","points","played_games"
"1","Smyslov",16.5,25
"2","Reshevsky",14.5,25
"3","Bronstein",14.5,26
"4","Keres",14,25
"5","Najdorf",13.5,25
"6","Petrosian",13.5,25
"7","Kotov",13,25
"8","Geller",12.5,25
"9","Taimanov",12.5,25
"10","Averbaj",12,25
"11","Boleslavsky",12,25
"12","Gligoric",12,25
"13","Euwe",11,26
"14","Szabo",10.5,25
"15","Stahlberg",7,26
