"","players","points","played_games"
"1","Smyslov",12.5,19
"2","Reshevsky",12,19
"3","Bronstein",11.5,19
"4","Keres",10.5,19
"5","Najdorf",10,18
"6","Kotov",10,18
"7","Petrosian",9.5,19
"8","Boleslavsky",9.5,18
"9","Geller",9,19
"10","Taimanov",9,18
"11","Euwe",8.5,19
"12","Szabo",8,19
"13","Averbaj",8,19
"14","Gligoric",8,18
"15","Stahlberg",5,19
