"","players","points","played_games"
"1","Reshevsky",13.5,21
"2","Smyslov",13.5,21
"3","Bronstein",12.5,21
"4","Keres",12,21
"5","Najdorf",10.5,20
"6","Kotov",10.5,20
"7","Petrosian",10,20
"8","Averbaj",10,21
"9","Taimanov",9.5,20
"10","Boleslavsky",9.5,20
"11","Gligoric",9.5,20
"12","Szabo",9,21
"13","Geller",9,20
"14","Euwe",9,21
"15","Stahlberg",6,21
