"","players","points","played_games"
"1","Smyslov",15.5,22
"2","Reshevsky",14,23
"3","Bronstein",13.5,23
"4","Keres",13,23
"5","Kotov",12.5,22
"6","Najdorf",11.5,22
"7","Petrosian",11.5,22
"8","Gligoric",11.5,22
"9","Taimanov",11,22
"10","Geller",10.5,22
"11","Averbaj",10.5,22
"12","Boleslavsky",10.5,22
"13","Euwe",10,23
"14","Szabo",9.5,23
"15","Stahlberg",6,23
