"","players","points","played_games"
"1","Smyslov",14.5,22
"2","Reshevsky",14,23
"3","Bronstein",13.5,23
"4","Keres",13,23
"5","Kotov",12,22
"6","Najdorf",11.5,22
"7","Petrosian",11.5,22
"8","Taimanov",11,22
"9","Gligoric",11,22
"10","Averbaj",10.5,22
"11","Boleslavsky",10.5,22
"12","Euwe",10,23
"13","Szabo",9.5,23
"14","Geller",9.5,22
"15","Stahlberg",6,23
