"","players","points","played_games"
"1","Smyslov",16,24
"2","Reshevsky",14.5,25
"3","Bronstein",14,25
"4","Keres",13.5,24
"5","Najdorf",13,24
"6","Petrosian",13,24
"7","Taimanov",12.5,24
"8","Kotov",12.5,24
"9","Averbaj",12,24
"10","Geller",11.5,24
"11","Boleslavsky",11.5,24
"12","Gligoric",11.5,24
"13","Euwe",10.5,25
"14","Szabo",10,24
"15","Stahlberg",6,25
