"","players","points","played_games"
"1","Reshevsky",13.5,22
"2","Smyslov",13.5,21
"3","Keres",13,22
"4","Bronstein",13,22
"5","Kotov",11.5,21
"6","Najdorf",11,21
"7","Petrosian",10.5,21
"8","Averbaj",10.5,22
"9","Gligoric",10.5,21
"10","Taimanov",10,21
"11","Boleslavsky",10,21
"12","Szabo",9.5,22
"13","Euwe",9.5,22
"14","Geller",9,21
"15","Stahlberg",6,22
